BASMID,SEGRADES,CENREG,EDCPUB,EDCCAT,EDCREL,EDCPRI,EDCINTK12,EDCHSFL,DISTASSI,SCHRTSCHL,SCHLMAGNET,SEENJOY,SEABSNT,FCSCHOOL,FCTEACHR,FCSTDS,FHHOME,FHWKHRS,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FORESPON,FOHISTX,FODINNERX,FOLIBRAYX,FOBOOKSTX,FOCONCRTX,FOMUSEUMX,FOZOOX,FOGROUPX,HHENGLISH,CSPEAKX,HHTOTALXX,HHPRTNRSX,P1REL,P1SEX,P1AGE,P2REL,P2SEX,P2MRSTA,PAR1EMPL,PAR1FTFY,PAR1MARST,PAR2FTFY,PAR2MARST,NUMSIBSX,TTLHHINC,OWNRNTHB,HVINTSPHO,HVINTCOM,INTACC,CHLDNT,LRNCOMP,LRNTAB,LRNCELL
20191001454,2,4,1,2,2,2,2,2,2,1,2,2,1,2,1,2,1,1,1,2,1,1,2,2,1,4,2,1,2,2,1,2,1,2,4,0,1,2,60,1,1,1,1,1,1,3,1,1,6,1,1,1,1,1,1,1,1
20191001487,2,1,1,2,2,2,2,2,1,2,2,1,1,1,1,1,4,20,2,2,2,2,1,1,1,6,2,2,1,2,2,1,2,2,5,0,1,1,48,1,2,1,1,1,1,3,1,2,10,3,1,1,1,1,1,1,1
20191001509,2,2,1,2,2,2,2,2,1,2,2,1,1,2,1,2,3,3,1,1,1,1,1,1,1,7,2,2,2,2,1,1,2,4,3,0,1,2,38,1,1,1,1,1,1,1,1,0,8,1,1,1,1,1,1,1,1
20191001522,1,2,1,2,2,2,2,2,1,2,2,1,1,1,1,1,4,6,2,2,2,1,2,2,1,3,1,2,2,1,2,1,1,2,3,0,1,2,31,3,1,1,2,2,1,1,1,0,9,2,1,1,1,1,2,2,1
20191001570,5,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,3,5,1,1,1,1,2,2,1,7,1,2,1,2,1,1,1,2,10,0,4,2,61,4,1,1,1,1,1,1,1,0,9,1,1,1,1,3,2,1,1
20191001573,5,2,1,2,2,2,2,2,1,2,2,1,1,1,1,1,3,3,1,1,1,2,1,1,2,3,2,1,2,2,2,1,1,2,4,0,1,2,35,1,1,1,1,1,1,1,1,1,4,3,1,1,1,2,2,1,1
20191001631,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,3,6,1,2,2,1,1,1,1,3,1,2,2,2,2,1,1,2,4,0,1,1,47,1,2,1,1,1,1,1,1,1,9,1,1,1,1,1,2,2,2
20191001655,1,3,1,2,2,2,2,2,1,2,2,1,1,1,1,1,2,1,1,2,2,2,1,1,1,5,1,2,2,2,2,1,1,2,4,0,1,1,40,1,2,1,1,1,1,2,1,1,10,1,1,1,1,1,1,1,2
20191001656,3,3,1,2,2,2,2,2,1,2,2,2,1,3,2,3,2,2,1,2,2,2,1,1,2,3,2,2,2,2,2,2,1,2,3,0,1,2,36,1,1,1,1,1,1,1,1,0,8,3,1,1,1,1,1,1,1
20191001657,1,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,7,1,1,1,1,2,1,1,2,3,0,3,1,46,1,2,1,1,1,1,2,1,0,9,1,1,1,1,1,1,1,1
20191001687,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,3,2,1,2,2,1,2,1,2,4,2,2,1,2,2,2,1,2,7,0,1,2,52,1,1,1,2,2,1,1,1,2,9,1,1,1,1,1,2,2,1
20191001709,2,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,0,1,1,48,1,2,1,1,2,1,3,1,1,2,1,1,1,1,2,2,2,1
20191001711,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,7,1,1,2,1,2,1,1,2,4,0,1,1,35,1,2,1,1,1,1,2,1,1,6,1,1,1,1,2,2,1,2
20191001724,5,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,3,1,1,1,1,1,1,2,1,7,2,2,2,2,2,1,1,2,4,0,1,2,41,1,1,1,4,3,1,1,1,1,9,1,1,1,1,2,1,2,1
20191001788,2,2,1,2,2,2,2,2,1,2,2,2,1,2,3,3,3,4,2,1,1,1,1,1,2,2,1,2,2,2,2,1,1,2,3,0,1,2,34,3,1,1,2,2,1,1,1,0,8,1,1,1,1,1,1,1,2
20191001824,1,4,1,2,2,2,2,2,1,2,2,2,1,1,1,2,4,12,2,1,1,1,1,1,1,7,1,1,1,2,2,2,1,6,4,0,1,1,46,1,2,1,1,1,1,3,1,1,9,1,1,1,1,1,1,1,1
20191001849,5,4,1,2,2,2,2,2,1,1,1,2,1,2,2,2,4,2,1,1,1,1,1,1,1,6,1,2,2,2,2,2,1,4,4,0,1,2,34,1,1,1,3,2,1,1,1,1,5,1,1,1,1,2,2,2,1
20191001870,1,2,1,2,2,2,2,2,1,2,1,2,1,1,1,1,2,10,1,1,1,1,1,1,2,3,2,2,1,1,2,2,1,2,4,0,1,1,40,1,2,1,1,1,1,3,1,1,9,3,1,1,1,1,1,1,2
20191001881,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,3,4,2,2,2,2,2,2,1,4,2,2,2,2,2,2,2,3,5,0,1,2,36,1,1,1,4,3,1,1,1,2,3,1,1,1,1,2,1,2,1
20191001889,2,4,1,2,2,2,2,2,1,2,2,1,1,1,1,1,4,3,2,1,1,1,1,1,2,7,2,2,2,2,2,2,1,4,6,0,1,2,39,1,1,1,1,1,1,1,1,3,8,1,1,1,1,3,1,1,1
20191001966,1,3,1,2,2,2,2,2,1,2,2,2,1,1,1,1,3,7,2,2,2,1,2,2,2,7,2,2,2,1,2,1,1,2,4,0,1,2,46,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1
